Cluster,Age,program,intake,hometown,study_hours,monthly_spending,sleep_duration,movie_hours,sports_hours,book_hours,gaming_hours,social_media_hours
0,18.454545454545453,0.2727272727272727,2023.6363636363637,0.9090909090909091,4.5,2954545.4545454546,8.5,0.6818181818181818,0.9545454545454546,0.7272727272727273,2.0,0.9545454545454546
1,22.3125,0.020833333333333332,2021.375,0.9375,3.1041666666666665,4072916.6666666665,7.270833333333333,1.8645833333333333,1.0416666666666667,0.6354166666666666,3.375,1.6979166666666667
2,18.903225806451612,0.25806451612903225,2023.3548387096773,0.9354838709677419,2.2419354838709675,4870967.741935484,6.758064516129032,2.532258064516129,0.7258064516129032,0.27419354838709675,4.661290322580645,2.306451612903226
